STOCK EXCHANGE,EBIT,EBITDA,TOTAL EQUITY/TOTAL ASSETS,EPS,CASH/TOTAL CURRENT ASSETS,TOTAL CURRENT ASSET/TOTAL ASSET,LONG-TERM ASSETS/TOTAL ASSETS,QUICK RATIO,Market Value of Total Equity / Book Values of Total Liabilities,Sales/Total Assets,EBIT/Total Assets,Retain Earnings/Total Assets,Working Capitals/Total Asset,ROIC,TARGET,probabilities
1,179471048.0,215235444.0,77.9,2292.31,19.69,68.06,31.94,2.55,13.6324471777717,1.45766896412277,0.000237893208763307,7.33896038170069e-05,0.000462566759699442,20.38,0,0.7309967
0,289780.0,289780.0,86.22,269.13,0.05,25.17,74.83,1.82,9.98253135231448,0.951332840081001,5.75002789105814e-06,0.000167753462265129,0.000113979073640737,0.53,0,0.7309967
1,177540146.0,282080473.0,29.0,363.97,3.43,48.02,51.98,0.51,0.794867578410921,0.799491491870242,2.70062834858454e-05,4.83507514501538e-05,1.51977286602389e-05,5.28,0,0.7309967
0,36589182.0,39995995.0,45472.0,1648.25,2.41,37.29,62.71,5.69,0.652268588254484,0.102814177009376,5.0479632613264e-05,0.000177497890387614,0.000310748044343977,12.62,0,0.7309967
1,127447082.0,198518897.0,59.41,3433.79,25.84,54.48,45.52,1.23,0.972449640863655,0.635370426270303,5.35428239445769e-05,0.000311226909664021,0.000145411422594309,6.58,0,0.7309967
0,17551259.0,46317832.0,35.76,527.92,0.3,72.25,27.75,0.86,0.343609409121353,1.18940506520513,5.8701561177992e-05,0.000134086280603673,8.00342753472094e-05,5.47,0,0.7309967
0,-150443087.0,167567991.0,49.74,-1571.97,30.75,16.74,83.26,0.15,0.616721764298678,0.874058858160954,-4.11415778155341e-05,0.000154413438360902,-0.000321044625030141,-5.4,0,0.7309967
1,11493348.0,12770965.0,48.62,53.82,6.88,75.57,24.43,1.37,0.577223520593212,0.17830217412819,1.67051974549629e-05,-2.27452610534007e-05,0.000241937788916032,2.64,0,0.7309967
0,82242648.0,101831507.0,73.45,76003.0,22.89,71.96,28.04,1.9,7.82304131002426,1.25260839216037,0.000170714292141329,6.43421689013011e-05,0.000454804961641215,16.58,0,0.7309967
1,1860427957.0,2459336188.0,41.58,140.66,3.96,45.5,54.5,1.32,0.191869485675426,0.0980120491951596,4.43180433208193e-05,1.52253593824428e-05,0.000178563081004249,4.12,0,0.7309967
