CODE,NAME,STOCK EXCHANGE,YEAR,TARGET,EBIT,EBITDA,TOTAL EQUITY/TOTAL ASSETS,EPS,CASH/TOTAL CURRENT ASSETS,TOTAL CURRENT ASSET/TOTAL ASSET,LONG-TERM ASSETS/TOTAL ASSETS,QUICK RATIO,Market Value of Total Equity / Book Values of Total Liabilities,Sales/Total Assets,EBIT/Total Assets,Retain Earnings/Total Assets,Working Capitals/Total Asset,ROIC,YEAR.1,NET INCOME/TOTAL ASSET
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,0,2019,0.0,-0.10017569333074595,-0.13281323720842655,-0.069431717899023,-0.07638670732834767,-0.46671903790950453,-0.513268887729972,-0.3091045956151602,0.2010059298793987,0.6838544949256438,-0.10330215015606815,0.06772371785517926,0.08260618093008076,-0.09021038459414833,1.9111048654836318,17.0,2.707523947189715
ANV,CTCP Nam Việt,1,2019,0.0,0.16367732907682775,0.11258525129691932,-0.06932554978791731,-0.06552748342191217,-0.4666916189117533,-0.5892877800180623,0.1723567411338199,-0.29706654742810273,-0.1726835091864324,-0.019675646737257003,0.07365073297735379,0.05064960966213002,0.0019092369376200828,1.1337132546109296,26.0,1.6011503183734719
API,CTCP Đầu tư Châu Á - Thái Bình Dương,0,2019,0.0,-0.17116058199511594,-0.19461209682791486,-0.06936732592788206,-0.10704438111585496,-0.4667166728540868,-0.29672030456439635,-0.3124398655731166,-0.3155136762172695,-0.3024450051313786,0.04072171471503143,0.04384165535597648,0.08054274581379667,0.866186048801841,-0.43715977171680775,13.0,-0.5676391032738921
ASM,CTCP Tập đoàn Sao Mai,1,2019,0.0,0.2630750077380864,0.23568523569426117,-0.06947969096649252,-0.09736539986537239,-0.46650264759484383,-0.5853892950606835,-0.23846366199130975,-0.3175633571938436,-0.30054598652149606,0.5135245841033028,0.23359614931113623,0.19455720456615513,0.08771105199557296,-0.09419288456708616,22.0,-0.14880647308356318
ASP,CTCP Tập đoàn Dầu khí An Pha,1,2019,1.0,-0.1543908832573103,-0.164052400778708,-0.06944931036869026,-0.09370269479092401,-0.4666472819956681,-0.5896989446913541,0.8338971816427695,-0.34215952891273255,-0.2961450913054832,-0.09361054546727325,-0.08483933075807121,-0.10166026560945436,-0.20910007245951484,-0.28473004409470926,15.0,-0.3706415333970163
AST,CTCP Dịch vụ Hàng không Taseco,1,2019,0.0,-0.08523915177898564,-0.1112209437517651,-0.06930365661080726,-0.07613016403411406,-0.46671635686405777,-0.2976419275683513,-0.31243614003080317,-0.1064462166067133,1.1237077727454097,0.020699154449130914,0.16487606053201057,-0.008788047023377763,0.04457251418106069,1.9525996246696475,4.0,2.2523041968491837
ATS,CTCP Tập Đoàn Dược Phẩm Atesco,0,2019,0.0,-0.1915636782636768,-0.21283692112188063,-0.06930472261152307,-0.1052888892069536,-0.4667192903008389,-0.3443260109557385,-0.3122108574751463,0.37112945093504734,0.7421972891899237,-0.10423925638670965,-0.0959725294231527,-0.06624579246457192,0.0731955587273269,-0.6683448586103238,21.0,-0.7426417379338838
BAX,CTCP Thống Nhất,0,2019,1.0,-0.15011502331594956,-0.17745637212782991,-0.06949900668769111,-0.04819988530427008,-0.466710752893869,-0.5602268764162489,-0.3019805004114317,-0.1597379219976394,-0.2662893036292745,-0.14473935083293277,-0.04483059460188625,-0.07453719747544958,-0.12983827946450033,3.653884751296291,15.0,0.5896654945133174
BBC,CTCP Bibica,1,2019,0.0,-0.1422769889388662,-0.1584080561093883,-0.06942000286279693,-0.06507662472632542,-0.4666081664952164,-0.5863101809393004,-0.2197111584088926,-0.15563856004449123,-0.17967732735358877,-0.10079044439468315,-0.0688801686311867,-0.012251087240269087,-0.10145950834723419,0.08533546129894097,11.0,0.1206389839695639
BBS,CTCP VICEM Bao bì Bút Sơn,0,2019,1.0,-0.18261164406625105,-0.19716323329547228,-0.06938998050973336,-0.10126260103510931,-0.4667193066379218,-0.49479934734855147,-0.3099809318000775,-0.2745200566857879,-0.29804562891461406,-0.12234746161964555,-0.0873388881582612,-0.09857767453777139,-0.17912191046552817,-0.22375815304586982,16.0,-0.5240292764307435
BCC,CTCP Xi măng Bỉm Sơn,0,2019,0.0,-0.08092876928685466,-0.031261363161229246,-0.06928190498942845,-0.09903537734286255,-0.46642614734294,-0.5848366800687362,-0.2465060586070196,-0.405699639186529,-0.28998619257142166,1.6663943440954136,0.7284432115770985,1.8291779374439794,-5.18108166386392,-0.17972289839948585,26.0,-0.3122005058171161
BCE,CTCP Xây dựng và Giao thông Bình Dương,1,2019,1.0,-0.17181431993744084,-0.1962610085434939,-0.06942388977041426,-0.10015560987150937,-0.4667160018385458,-0.5705396894732355,-0.2958116738371568,-0.1822844127399543,-0.2801218810175857,-0.10509876936792839,-0.07213769661854655,-0.08622810030015621,-0.03981161657983579,-0.04422980717984269,17.0,-0.11383575436187074
BCG,CTCP Tập đoàn Bamboo Capital,1,2019,1.0,-0.042788997710203135,-0.06957618399873383,-0.06951099199792848,-0.10303172567945304,-0.4666396195384053,-0.5894998181507138,0.3779655455742325,-0.34625889086588074,-0.30343735147808826,-0.1439297237600716,-0.075294451861596,-0.10720371383125692,-0.21383492330266238,-0.186497552960468,8.0,-0.48768374610765325
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,1,2019,1.0,1.2754130425344026,1.0893719184760462,-0.06951057631977295,-0.09212782031953419,-0.4667181658656533,-0.5818066720123949,-0.27132335619388287,-0.37905378649106597,-0.21963267577215936,-0.1510332414367645,-0.07672601669524212,-0.09314832788507618,-0.13219927570447426,0.0692456567166084,9.0,0.07171650260189372
BDB,CTCP Sách và Thiết bị Bình Định,0,2019,0.0,-0.19111050405904415,-0.21286389886203474,-0.06930534213005676,-0.10046296608875543,-0.46671809395285285,-0.5835494436133553,-0.25989721191580817,-0.1289927073490282,-0.07327049446302887,-0.14732032483230836,-0.09680862447871343,-0.11167993713691149,-0.15356342892349636,-0.020518516216405207,20.0,0.1682681657492311
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,0,2019,0.0,-0.18804110944128702,-0.2101516193930214,-0.06932018856854856,-0.04963093115532298,-0.4667185967679538,-0.471084782156272,-0.3107069807043248,-0.1269430263724541,0.7386068406326269,-0.09521982303996478,-0.057253170703281946,-0.08501302301661441,-0.10434996515695547,0.4105188802260844,37.0,1.228387701635068
BFC,CTCP Phân bón Bình Điền,1,2019,0.0,-0.08991835154243268,-0.09981191563830248,-0.06947461353733561,-0.09864674654015626,-0.46600369063159125,-0.5896796098004855,0.7648607383414212,-0.3114143142641213,-0.29119495391938277,-0.021318662794216722,-0.06368848994538141,-0.0766859157436028,-0.11065006174765903,-0.271180734972745,16.0,-0.401145210762339
BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,1,2019,0.0,0.0914433055733755,0.18474457208073505,-0.06937240392202634,-0.09438400542104607,-0.46669236636957495,-0.5780975415995177,-0.2845035699970095,-0.11874430246615779,0.2682916693377293,-0.07010395151830232,-0.05678344506570855,-0.013555883944270276,-0.06562259903115683,0.11751507046360628,16.0,0.23862970055979724
BKC,CTCP Khoáng sản Bắc Kạn,0,2019,1.0,-0.1801248030947054,-0.19693073967603464,-0.06937710425581865,-0.10704438111585496,-0.4667192742573319,-0.5744367771630114,-0.2913522655783134,-0.3114143142641213,-0.2876646506931359,-0.1503205460013728,-0.09166057035917669,-0.10972437368895391,-0.15926142625519674,-0.04168931171947444,19.0,-0.22318442241469755
BMC,CTCP Khoáng sản Bình Định,1,2019,0.0,-0.1832370050449352,-0.20181802208515776,-0.06945494611961683,-0.0984010963885967,-0.4667189233305482,-0.5725645581276733,-0.29374342177562945,0.1005715620272688,0.4225128866288717,-0.14339094429069837,-0.08759744475166441,-0.08992561005526505,-0.10600302214386012,-0.03406782533836953,18.0,0.282574776469213
BMP,CTCP Nhựa Bình Minh,1,2019,0.0,0.02225109671850358,0.029928527790911236,-0.06925241372634061,-0.07395518828966316,-0.4666576177189985,-0.5318830799414318,-0.30765784626681547,0.15591294839476896,0.5239730313145299,1.75557670013138,1.3781371685278085,3.3329250361180707,2.668733189789234,0.701829026348317,25.0,1.3045765963689995
BPC,CTCP VICEM Bao bì Bỉm Sơn,0,2019,1.0,-0.1867247045512149,-0.20872186740104862,-0.06930502998764927,-0.09964611084500069,-0.4667105867193134,-0.5798503261330091,-0.2794755467005987,-0.1064462166067133,-0.2899850821870289,-0.1109867493370036,-0.0856019539005398,-0.06806996479956369,-0.07369210164991997,-0.2381542939879569,20.0,-0.38428173152653283
BRC,CTCP Cao su Bến Thành,1,2019,0.0,-0.18124404319406404,-0.19977631634688392,-0.06931404911932307,-0.09803920922958119,-0.4667189682577357,-0.3851537629244411,-0.31192966696158564,-0.1802347317633802,-0.14745321105204065,-0.08546449259331867,-0.053900272785706756,-0.043346791721128736,-0.04937993955910157,0.056543179414766824,25.0,0.2830063666808093
BST,CTCP Sách và Thiết bị Bình Thuận,0,2019,0.0,-0.19101364821558905,-0.21284827073629708,-0.06939571997390066,-0.10027765220649822,-0.46671718985930827,-0.5887687678606413,-0.032336953464356014,0.20920465378569503,0.6943042856238092,-0.15535671682144697,-0.09829107697109922,-0.11260091622558031,-0.16023035594949242,-0.045923470820088276,27.0,0.3089115835343125
BTP,CTCP Nhiệt điện Bà Rịa,1,2019,0.0,-0.09659093105344244,-0.12101340648283887,-0.0692613030896382,-0.09666086792511885,-0.4667050916391151,-0.581056564742999,-0.27487062454806277,0.18050912011365797,-0.23312524796886352,-0.049891697806537405,-0.012600805519207326,0.05567574817287873,0.1390079273156554,0.2902687617686512,14.0,0.5337614874941855
BTS,CTCP Xi măng VICEM Bút Sơn,0,2019,0.0,-0.12179954989968074,-0.0728932191441011,-0.06929507435651636,-0.1044687073148373,-0.46639373611746415,-0.5564502402180499,-0.3032908893676798,-0.3954512343036586,-0.29539957835248487,5.4411657185063405,1.7849395410609545,1.6048391853692496,-13.25164948175728,-0.32537797146060216,22.0,-0.47611401900836364
BTW,CTCP Cấp nước Bến Thành,0,2019,0.0,-0.17472992291452788,-0.19134620046774894,-0.06929805787637638,-0.08057802335028375,-0.4667097486371793,-0.5817481845636782,-0.27162312343310835,-0.19458249859939875,-0.05777495219789391,-0.13392589124242907,-0.08431720146985762,-0.08926502501342337,-0.15961810534737253,0.5079045395402029,12.0,1.0620520437498095
BWE,CTCP - Tổng công ty nước - môi trường Bình Dương,1,2019,1.0,0.08492749996578924,0.16491715215292188,-0.06944867461869185,-0.09285746519349736,-0.4665262321162556,-0.5898806128578108,2.5656418680767734,-0.3114143142641213,-0.2422183746850424,-0.12958495542609147,-0.04731668047277277,-0.07407813568028022,-0.15323669277002863,0.03621921573182034,13.0,0.33634355684619854
BXH,CTCP VICEM Bao bì Hải Phòng,0,2019,1.0,-0.18878197561055912,-0.2101113939858604,-0.0694130996654822,-0.09965504713569735,-0.46671930254629646,-0.5835488843387351,-0.2599018688021695,-0.149489517114769,-0.28575919778352105,-0.15436449040974665,-0.09803618343791477,-0.11049605144539974,-0.15900518108274383,-0.22375815304586982,15.0,-0.3612800281827185
C32,CTCP CIC39,1,2019,1.0,-0.14867502648973682,-0.1697521338884476,-0.0693761847766346,-0.08563902961936366,-0.46658708020221973,-0.5889006214949576,0.0013684042091099344,-0.2355761181308804,-0.24010932633295104,-0.0934703261589886,-0.04325612574424391,0.027627462122548338,-0.12235746529555824,0.2657106389850909,26.0,0.4441348993643699
C69,CTCP Xây dựng 1369,0,2019,1.0,-0.186394596072382,-0.20716773881677628,-0.06941599357220044,-0.10359692975891761,-0.4667166205092284,-0.5627680301724781,-0.3008942414007446,-0.27247037570921384,-0.2631825415821141,-0.07670018327565678,-0.08127515346941484,-0.10743510388736136,-0.024883182591117083,-0.3329994578417071,16.0,-0.5083094766629678
CAG,CTCP Cảng An Giang,0,2019,0.0,-0.18959342671347504,-0.20889901467602795,-0.06931628200553683,-0.10499203476198611,-0.466718353709116,-0.5896666051109645,0.7229174439598389,1.7874590057477369,17.41664675645673,-0.1599371021493271,-0.09911832533984358,-0.1136685008478046,-0.16537201621169614,-0.5040594855065066,8.0,-0.33519786954158465
CAN,CTCP Đồ hộp Hạ Long,0,2019,1.0,-0.18361406425748047,-0.20437100296690291,-0.06940209831241677,-0.09635514241785394,-0.46671355424415134,-0.589658625190722,0.6987577545856978,-0.36060665770189926,-0.26204109735613684,-0.15647016177321157,-0.09839735099349488,-0.11215290236695116,-0.16359904693930424,0.07009248853673114,20.0,-0.1209231506955658
CAV,CTCP Dây Cáp điện Việt Nam,1,2019,0.0,0.09517707227054491,0.0644222017822011,-0.06943537031667185,-0.05172241454873929,-0.46668711636024673,-0.5880519899132314,-0.1357840431054615,-0.28476846156865826,-0.20293757062463622,0.007762806192754917,-0.01684232265412244,-0.053145729019007215,-0.09253720329196106,0.8923661858759402,12.0,0.9452688241352902
CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,1,2019,1.0,-0.1641754909317245,-0.19013154356270473,-0.06937465327728362,-0.10321358245655023,-0.4667187665293012,-0.5597075744440738,-0.30218005835884937,-0.26632133277949155,-0.23228553390900056,-0.11807379325754147,-0.0649463228862503,-0.0895668776150552,-0.05124553287397975,-0.1280661573719969,12.0,-0.09557605952816985
CCR,CTCP Cảng Cam Ranh,0,2019,0.0,-0.17679218003913688,-0.19463230221050754,-0.06931548352205297,-0.10141008244580399,-0.4667185089266689,-0.5355690948680187,-0.3072539872109643,-0.11259525953643555,0.30904764092895104,-0.12706279610012633,-0.05095913733199664,-0.0875775300771824,-0.14575292410030072,-0.03237416169812402,10.0,0.1287722924801095
CDC,CTCP Chương Dương,1,2019,1.0,-0.17230952953771744,-0.1965903228745723,-0.06946869058478931,-0.09801553132065496,-0.46671873013665177,-0.5086166721168245,-0.30936280867421817,-0.16383728395078756,-0.27627648659664744,-0.1384239723601758,-0.08530846011598073,-0.10265891153912864,-0.07224888364631794,-0.043382975359719946,16.0,-0.1603141634075042
CDN,CTCP Cảng Đà Nẵng,0,2019,0.0,-0.09506828080895659,-0.09170427044113663,-0.06929515603371955,-0.09980383311437695,-0.46671363225230905,-0.5827249173383212,-0.26598527991773724,0.5351039290609737,0.2329419249022209,-0.12322851330316242,-0.03151958089925517,-0.0365859509940779,-0.049496056924557545,0.37579877560105085,11.0,0.796837488580595
CEO,CTCP Tập đoàn C.E.O,0,2019,1.0,0.20494196438847687,0.15354575205789386,-0.06944308668139051,-0.09549230115263091,-0.46671855467695467,-0.5365394961103119,-0.3071384044734515,-0.24582452301375074,-0.2688088339712532,-0.11798376888017187,-0.041746320985546224,-0.09584640412946027,-0.1214438347457154,0.21913488887833854,18.0,0.05249770980206959
CET,CTCP HTC Holding,0,2019,1.0,-0.1917169356108979,-0.21218107316957321,-0.06931537320734649,-0.10048259983692842,-0.46671931495574637,-0.45519039479546863,-0.31105062957484353,-0.3442092098893066,-0.23348784154488572,-0.11370133990312116,-0.09928093366192069,-0.09347403890381722,-0.011339375875701786,-0.7216952632780582,10.0,-0.8767667048933117
CHP,CTCP Thủy điện Miền Trung,1,2019,1.0,-0.04815578545214693,-0.026534460934000147,-0.06940389911949368,-0.09862241634723759,-0.46667540127693213,-0.5878249519773723,-0.15433879090781347,-0.2642716518029175,-0.18626006767619896,-0.14539153995718093,-0.05292432458080537,-0.0768559124363955,-0.17625079899569757,0.21744122523809303,15.0,0.10782820059485626
CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,0,2019,0.0,-0.17527494183971554,-0.1937626094892273,-0.06943052527855624,-0.0964490060843686,-0.4667095753694153,-0.5737218172175712,-0.2923303093257148,0.3321855123801398,0.018979867635044313,-0.13819941014109074,-0.080094790199058,-0.0942090547679432,-0.08437882016416651,-0.12891298919211963,10.0,-0.021381296010050278
CIG,CTCP COMA 18,1,2019,1.0,-0.19089123883817138,-0.2121787008584479,-0.06949122129936613,-0.10704438111585496,-0.46671222653584654,-0.5892583941233874,0.15312575160135425,-0.25197356594347303,-0.30537944120236005,-0.15986698390398427,-0.09812493382884109,-0.16071738798979615,-0.023077674477951768,-0.7166142723573217,46.0,-0.6986971314559051
CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,1,2019,0.0,0.3402203204811001,0.44317047541123794,-0.06940318141894024,-0.09507307823067836,-0.4665743388915758,-0.5630865670246487,-0.30074360986795545,-0.34625889086588074,-0.2931854194912285,0.27639966304257063,1.8666892763101541,2.936068966463546,-0.543245227637722,-0.3092881668782696,18.0,-0.6328912766004545
CJC,CTCP Cơ điện Miền Trung,0,2019,1.0,-0.19937384450877765,-0.2183244355889053,-0.06932727376477661,-0.10704438111585496,-0.46671875474403024,-0.5458817739098455,-0.30576556400744453,-0.2827187805920842,-0.281523606836891,-0.1071357429937921,-0.12071920755926517,-0.11677190980656783,-0.1468350239299924,-1.5177171741934616,14.0,-2.41267493110948
CKV,CTCP COKYVINA,0,2019,1.0,-0.18881535197659313,-0.2078595676132796,-0.06934209139788938,-0.09793086485843396,-0.4667172858606614,-0.5474471179652947,-0.30547657647694093,-0.20278122250569508,-0.2596874844132019,-0.10563757493171078,-0.09289732257758672,-0.09748487752556648,-0.15145949874124448,-0.20936201210378275,23.0,-0.31844302017711545
CLC,CTCP Cát Lợi,1,2019,0.0,-0.11285592940953248,-0.1304260380315169,-0.06954959139047992,-0.07519283193695236,-0.4666929689595915,-0.5891027798272761,0.07226234662404572,-0.2376257991074544,-0.08483958960614887,-0.11660610518589043,-0.07136374050500881,-0.07465958808604298,-0.092484569315862,0.6925138763269666,15.0,1.1539583946640166
CLH,CTCP Xi măng La Hiên VVMI,0,2019,0.0,-0.1693045637584341,-0.1790194732626235,-0.06937835728722515,-0.08717196223003845,-0.4667147806435237,-0.5663926412522546,-0.29894018506829095,-0.3688053816081956,-0.21508678999278596,0.005737739023203536,-0.014864250025971998,-0.029126888539230976,-0.2758726921877288,0.8525650903301701,11.0,0.9728261565939994
CLL,CTCP Cảng Cát Lái,1,2019,0.0,-0.14525931756960891,-0.15809933620906366,-0.06927452755905716,-0.08930330017539394,-0.46670356152820786,-0.5807051738788506,-0.2763354519100166,0.412123070466529,0.8108529922059361,-0.12280064958253452,-0.02178050306628261,-0.00684977601322398,-0.04589082254156606,0.3766456074211736,12.0,0.9967544064665844
CLM,CTCP Xuất nhập khẩu Than - Vinacomin,0,2019,0.0,-0.16489633322132216,-0.19084549208960205,-0.06951180059479367,-0.09496838664988891,-0.466709377595037,-0.5866361380266972,-0.2106139451461637,-0.34215952891273255,-0.29394551043469014,0.22772204281803332,-0.06912773958077488,-0.09433930950855442,-0.13800945198640588,0.04214703847267975,37.0,-0.21206025462146547
CLW,CTCP Cấp nước Chợ Lớn,1,2019,0.0,-0.17832559698368386,-0.18626035072887198,-0.06939136735543358,-0.08822735772983498,-0.46670826883548644,-0.5635325528111004,-0.30052661784232326,-0.27247037570921384,-0.19953342739086846,0.029494614098704578,-0.06199519251889626,-0.04070878831161015,-0.17809114395533499,-0.15347111197567995,12.0,0.1237763303218606
CMC,CTCP Đầu tư CMC,0,2019,1.0,-0.19042244443118658,-0.21224407622626976,-0.06942735729542537,-0.10704438111585496,-0.466719272250715,-0.589828527381249,1.6960898563454583,-0.31961303817041764,-0.24910212558404468,-0.15996768537122502,-0.0991421882803911,-0.11372226589607197,-0.16585832080099902,-0.46510522178085917,18.0,-0.6969168056386771
CMG,CTCP Tập đoàn Công nghệ CMC,1,2019,0.0,-0.0666232953881352,-0.053757554684342006,-0.06935518272251426,-0.10061618759858375,-0.4666395436907108,-0.5076344812528804,-0.30941359428717824,-0.1925328176228247,-0.18714508327797627,2.6867542258930572,1.0467866151680085,0.3506429259086322,1.4430235407850498,0.009120597487891693,26.0,-0.11958130697295388
CMS,CTCP Tập Đoàn CMH Việt Nam,0,2019,1.0,-0.1856115599237152,-0.2023418856185602,-0.06946716306333911,-0.10565821240348314,-0.4667172783084903,-0.5755347231252721,-0.2896620839176526,-0.30116590938125093,-0.30516120900783417,-0.12187392094821041,-0.08785453009283374,-0.1082506109254882,-0.13265456219894461,-0.4566369035796315,12.0,-0.6012149050131083
CMV,CTCP Thương nghiệp Cà Mau,1,2019,0.0,-0.17439803736436735,-0.1962194357260787,-0.06948764756911434,-0.10106261076302178,-0.46671126629284543,-0.5714369702347987,-0.29495083755273693,-0.3442092098893066,-0.2825873564364763,0.31933766987920104,-0.07171342401337887,-0.08908904431497915,-0.13109178454069642,-0.24323528490869356,27.0,-0.392390802699248
CMX,CTCP Camimex Group,1,2019,1.0,-0.13864497846947021,-0.1590773662823132,-0.06952814316135117,-0.0812423745966019,-0.46671800486713916,-0.5637443302568665,-0.30042099738152495,-0.39340155332708454,-0.3017759663831483,-0.11004241816714909,-0.05580761365706627,-0.1068528131313362,-0.1890341188526303,0.07940763855808156,13.0,-0.3102829103691896
CNG,CTCP CNG Việt Nam,1,2019,0.0,-0.14821188177119624,-0.15850238263530525,-0.06935092076021664,-0.09224757966054943,-0.4666983562409937,-0.5862780620993809,-0.22052135268972095,0.03908113273004634,-0.11932660861813096,0.028802976330512698,-0.038817783927114075,0.00016153071744559396,0.02422713181299536,0.3893480847230152,12.0,0.6587932703082441
COM,CTCP Vật tư Xăng Dầu,1,2019,0.0,-0.1659965933744244,-0.18789245563178902,-0.06945075623461015,-0.0761134003355079,-0.46671597757159444,-0.5893514245895217,0.21997280291771212,-0.1699863268805098,0.5078988558903448,-0.1255114986001157,-0.0958796350136878,-0.10721488030678909,-0.1590279765600337,0.17848696151244559,26.0,0.6378573165844439
CPC,CTCP Thuốc sát trùng Cần Thơ,0,2019,1.0,-0.1849731980738762,-0.20642727390788446,-0.0693848474955697,-0.09118840091359663,-0.4667192769235192,-0.5536964605250112,-0.30407450357621973,-0.0879990878175466,-0.14791373661756607,-0.15744972082904488,-0.0981504527640706,-0.11220478853627087,-0.16249401368768174,0.09719110678065979,17.0,0.46130253839949403
CRC,CTCP Create Capital Việt Nam,1,2019,1.0,-0.1865564983037738,-0.20825222278719788,-0.06934718697324163,-0.1042999614459885,-0.46671702673534693,-0.5849821550201396,-0.2445606594530502,-0.27247037570921384,-0.24147582310653026,-0.14022689453768528,-0.09522915627291856,-0.10842885658375712,-0.14340341535596218,-0.44139393081742156,9.0,-0.5209334933746044
